date,group,home,away,status,real_score,exact_score,exact_prob,alt_scores,p_home,p_draw,p_away,xg_home,xg_away,scorer_home,scorer_away,result
2026-06-22,I,France,Iraq,pendiente,,2-0,14.2,3-0 (13%)  ·  1-0 (10%),82.1,12.9,5.0,2.68,0.55,"Kylian Mbappé, Randal Kolo Muani","Aymen Hussein, Mohanad Ali",Victoria France 2-0
2026-06-22,I,Norway,Senegal,pendiente,,1-1,13.2,1-0 (12%)  ·  0-0 (9%),46.7,27.8,25.5,1.46,1.01,"Erling Haaland, Alexander Sørloth","Sadio Mané, Ismaïla Sarr",Empate 1-1
2026-06-22,J,Argentina,Austria,pendiente,,2-0,13.4,1-0 (12%)  ·  1-1 (9%),69.3,19.9,10.8,2.1,0.7,"Lionel Messi, Lautaro Martínez","Marko Arnautović, Michael Gregoritsch",Victoria Argentina 2-0
2026-06-22,J,Jordan,Algeria,pendiente,,1-1,13.0,0-1 (12%)  ·  0-2 (9%),24.4,27.5,48.1,0.99,1.49,"Yazan Al-Naimat, Musa Al-Taamari","Mohamed Amoura, Baghdad Bounedjah",Empate 1-1
2026-06-23,K,Portugal,Uzbekistan,pendiente,,2-0,13.0,1-0 (12%)  ·  1-1 (10%),67.0,21.0,12.0,2.02,0.73,"Cristiano Ronaldo, Bruno Fernandes","Abbosbek Fayzullaev, Eldor Shomurodov",Victoria Portugal 2-0
2026-06-23,K,Colombia,DR Congo,pendiente,,2-0,13.8,1-0 (12%)  ·  3-0 (10%),72.3,18.5,9.3,2.21,0.67,"Luis Díaz, Luis Suárez","Cédric Bakambu, Yoane Wissa",Victoria Colombia 2-0
2026-06-23,L,England,Ghana,pendiente,,3-0,14.0,2-0 (13%)  ·  4-0 (11%),88.5,8.7,2.7,3.16,0.47,"Harry Kane, Bukayo Saka","Jordan Ayew, Mohammed Kudus",Victoria England 3-0
2026-06-23,L,Panama,Croatia,pendiente,,1-1,12.6,0-1 (12%)  ·  0-2 (10%),21.5,26.5,52.0,0.93,1.58,"Ismael Díaz, José Fajardo","Andrej Kramarić, Ivan Perišić",Empate 1-1
2026-06-24,A,Mexico,Czech Republic,pendiente,,2-0,13.7,1-0 (12%)  ·  3-0 (10%),71.4,18.9,9.7,2.18,0.68,"Raúl Jiménez, César Montes","Patrik Schick, Tomáš Souček",Victoria Mexico 2-0
2026-06-24,A,South Africa,South Korea,pendiente,,0-2,13.1,0-1 (12%)  ·  1-1 (10%),11.8,20.8,67.4,0.73,2.03,"Lyle Foster, Oswin Appollis","Son Heung-min, Lee Kang-in",Victoria South Korea 2-0 (visitante)
2026-06-24,B,Canada,Switzerland,pendiente,,1-1,13.7,1-0 (10%)  ·  0-0 (10%),38.0,28.9,33.1,1.27,1.16,"Jonathan David, Tajon Buchanan","Breel Embolo, Zeki Amdouni",Empate 1-1
2026-06-24,B,Bosnia and Herzegovina,Qatar,pendiente,,1-1,13.0,1-0 (12%)  ·  2-0 (9%),48.2,27.5,24.3,1.49,0.99,"Edin Džeko, Ermedin Demirović","Almoez Ali, Akram Afif",Empate 1-1
2026-06-24,C,Scotland,Brazil,pendiente,,0-1,12.5,0-2 (12%)  ·  1-1 (11%),15.2,23.4,61.4,0.8,1.84,"Scott McTominay, John McGinn","Raphinha, Vinícius Júnior",Victoria Brazil 1-0 (visitante)
2026-06-24,C,Morocco,Haiti,pendiente,,2-0,13.5,1-0 (12%)  ·  3-0 (10%),69.9,19.6,10.4,2.12,0.69,"Ayoub El Kaabi, Brahim Díaz","Duckens Nazon, Frantzdy Pierrot",Victoria Morocco 2-0
2026-06-25,D,United States,Turkey,pendiente,,1-1,13.7,1-0 (10%)  ·  0-1 (10%),36.7,28.9,34.4,1.24,1.19,"Jesús Ferreira, Folarin Balogun","Kerem Aktürkoğlu, Hakan Çalhanoğlu",Empate 1-1
2026-06-25,D,Paraguay,Australia,pendiente,,1-1,13.5,0-1 (11%)  ·  0-0 (9%),29.0,28.5,42.5,1.08,1.36,"Julio Enciso, Antonio Sanabria","Jackson Irvine, Craig Goodwin",Empate 1-1
2026-06-25,E,Curaçao,Ivory Coast,pendiente,,0-1,12.5,0-2 (12%)  ·  1-1 (11%),15.4,23.5,61.0,0.81,1.83,"Gervane Kastaneer, Kenji Gorré","Franck Kessié, Amad Diallo",Victoria Ivory Coast 1-0 (visitante)
2026-06-25,E,Ecuador,Germany,pendiente,,1-1,13.7,0-1 (10%)  ·  1-0 (10%),33.6,28.9,37.5,1.17,1.26,"Enner Valencia, Félix Torres","Florian Wirtz, Kai Havertz",Empate 1-1
2026-06-25,F,Japan,Sweden,pendiente,,1-0,12.5,2-0 (12%)  ·  1-1 (11%),63.5,22.5,14.0,1.9,0.77,"Ayase Ueda, Takumi Minamino","Viktor Gyökeres, Alexander Isak",Victoria Japan 1-0
2026-06-25,F,Tunisia,Netherlands,pendiente,,0-2,13.9,0-1 (12%)  ·  0-3 (10%),8.8,17.9,73.3,0.65,2.25,"Mohamed Ali Ben Romdhane, Elias Achouri","Cody Gakpo, Memphis Depay",Victoria Netherlands 2-0 (visitante)
2026-06-26,G,Egypt,Iran,pendiente,,1-1,13.1,0-1 (12%)  ·  0-2 (9%),24.8,27.6,47.6,1.0,1.48,"Mohamed Salah, Trézéguet","Mehdi Taremi, Sardar Azmoun",Empate 1-1
